name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Lost,Frank Ocean,4L7jMAP8UcIe309yQmkdcO,0.913,0.603,-4.892,0.226,0.0272,123.061,0.167,0.497
O Navio Dela,Manel Cruz,4iTCY29czaXBLj9luDoDDU,0.579,0.39,-11.033,0.0524,0.837,87.512,0.101,0.53
Quinta-feira,Doismileoito,78KOwEZXibZSrEtRzByt3X,0.768,0.692,-6.643,0.0262,0.478,104.095,0.0446,0.965
sanjake,cleopatrick,3oBbNQot23WQVDg6aUak04,0.397,0.849,-5.216,0.0833,0.00014,94.964,0.423,0.503
Feelings,The Offspring,50UeatbSCQaOInjokdo7WQ,0.204,0.916,-4.698,0.0644,0.00285,186.941,0.263,0.338
"She Plays Bass - Live from Abbey Road Studios, London",beabadoobee,4JVJTPbpj8uzcJ4UY8eFiU,0.503,0.329,-11.667,0.0308,0.825,133.544,0.171,0.263
Once A Day,Mac Miller,26G5nmIx7Yvq79bIIluyZV,0.762,0.054,-16.735,0.0503,0.947,96.838,0.124,0.339
Woods,Mac Miller,3Qa944OTMZkg8DHjET8JQv,0.779,0.362,-10.847,0.0474,0.135,85.011,0.111,0.46
What's the Use?,Mac Miller,2dgrYdgguVZKeCsrVb9XEs,0.759,0.492,-10.338,0.12,0.736,104.974,0.107,0.561
For No One - Remastered 2009,The Beatles,1kDkaFlmkdEZiVUogaP9OZ,0.483,0.351,-10.487,0.0278,0.783,81.208,0.115,0.713
Blue World,Mac Miller,2hwOoMtWPtTSSn6WHV7Vp5,0.742,0.553,-8.98,0.419,0.389,84.931,0.0694,0.508
Hard-Wired,Dave Weckl,55ItYh50tubp0w8jSbr6sj,0.57,0.816,-8.67,0.0363,0.0155,129.923,0.0758,0.664
Let It Go,Summer Walker,4pfw8cfDRujkJDUgdkRKPH,0.65,0.49,-6.558,0.0477,0.0695,112.796,0.1,0.207
"If Nothing Breaks, Nothing Moves",Arcane Roots,7wSEph5P8uF0gUMzzTDldJ,0.476,0.894,-4.232,0.0644,0.000821,134.993,0.0624,0.226
Lake Song,Deja Blu,6eHrzdLEC9pIMFMvGhqsjU,0.478,0.369,-20.579,0.373,0.864,149.889,0.168,0.46
Arevil's Gardens (Rip),The Land of Rah,6s7RPRB3sNO4bpaIYntHZ2,0.765,0.549,-9.248,0.0357,0.513,119.97,0.141,0.127
Off the Floor,Arcane Roots,1rWzYjojf9BK81yae6fPgp,0.507,0.805,-7.317,0.0428,0.016,135.011,0.116,0.0565
ARE YOU OK?,Daniel Caesar,2hSwwIRD8sahfwQGjFdixz,0.391,0.415,-11.665,0.0398,0.573,99.035,0.242,0.0789
Suedehead - 2011 Remaster,Morrissey,0kA5scXMiaO5Ms2GQ4pRWa,0.529,0.989,-4.5,0.042,0.00126,142.29,0.0567,0.669
